timestamp,cpu_percent,cpu_user,cpu_system,cpu_idle,load_1min,load_5min,load_15min,mem_total_gb,mem_used_gb,mem_free_gb,mem_percent,disk_total_gb,disk_used_gb,disk_free_gb,disk_percent,uptime_hours,process_count,running_processes,sleeping_processes,top_cpu_1,top_cpu_2,top_cpu_3,top_mem_1,top_mem_2,top_mem_3,gpu_available,gpu_usage,gpu_memory_used,gpu_memory_total
2026-01-11 11:43:25,4.9,0.9,2.7,96.0,0.0,0.0,0.0,7.71,6.57,1.14,85.3,475.67,198.53,277.14,41.7,181.7,266,263,0,System Idle Process(1060.5%),python.exe(87.4%),afwServ.exe(20.9%),MemCompression(7.4%),chrome.exe(6.0%),chrome.exe(2.7%),False,0,0,0
2026-01-11 11:43:41,4.7,0.8,3.9,94.9,0.0,0.0,0.0,7.71,6.4,1.31,83.1,475.67,198.53,277.14,41.7,181.7,262,259,0,System Idle Process(1077.2%),python.exe(86.8%),afwServ.exe(20.5%),MemCompression(7.7%),chrome.exe(6.0%),chrome.exe(2.7%),False,0,0,0
2026-01-11 11:43:57,4.7,0.9,4.6,94.1,0.0,0.0,0.0,7.71,6.4,1.31,83.0,475.67,198.53,277.14,41.7,181.71,262,259,0,System Idle Process(1033.9%),python.exe(83.1%),afwServ.exe(31.5%),MemCompression(7.7%),chrome.exe(6.0%),chrome.exe(2.7%),False,0,0,0
2026-01-11 11:44:12,4.1,0.6,4.0,94.9,0.07,0.02,0.01,7.71,6.43,1.28,83.4,475.67,198.53,277.14,41.7,181.71,264,261,0,System Idle Process(1054.8%),python.exe(86.8%),System(16.1%),MemCompression(7.7%),chrome.exe(6.0%),chrome.exe(2.7%),False,0,0,0
2026-01-11 11:44:27,5.1,0.6,3.6,95.3,0.05,0.02,0.01,7.71,6.5,1.22,84.2,475.67,198.53,277.14,41.7,181.71,266,263,0,System Idle Process(1069.6%),python.exe(89.4%),afwServ.exe(25.7%),MemCompression(7.7%),chrome.exe(6.1%),chrome.exe(2.7%),False,0,0,0
2026-01-11 11:44:43,13.1,0.4,3.3,96.1,0.04,0.01,0.01,7.71,6.51,1.2,84.4,475.67,198.53,277.14,41.7,181.72,266,263,0,System Idle Process(1042.3%),python.exe(87.7%),afwServ.exe(26.7%),MemCompression(7.7%),chrome.exe(6.1%),chrome.exe(2.7%),False,0,0,0
2026-01-11 11:44:58,4.3,1.8,3.4,94.2,0.03,0.01,0.01,7.71,6.51,1.2,84.4,475.67,198.53,277.14,41.7,181.72,266,263,0,System Idle Process(1062.5%),python.exe(87.9%),afwServ.exe(21.7%),MemCompression(7.7%),chrome.exe(6.0%),chrome.exe(2.7%),False,0,0,0
2026-01-11 11:45:13,7.6,0.6,3.1,95.8,0.17,0.05,0.02,7.71,6.51,1.2,84.4,475.67,198.53,277.14,41.7,181.73,267,264,0,System Idle Process(1069.4%),python.exe(87.4%),afwServ.exe(16.2%),MemCompression(7.7%),chrome.exe(6.0%),chrome.exe(2.7%),False,0,0,0
2026-01-11 11:45:29,6.5,0.5,4.0,95.2,0.2,0.06,0.02,7.71,6.5,1.21,84.3,475.67,198.53,277.14,41.7,181.73,266,263,0,System Idle Process(1044.9%),python.exe(87.2%),afwServ.exe(25.8%),MemCompression(7.7%),chrome.exe(6.0%),chrome.exe(2.7%),False,0,0,0
2026-01-11 11:45:44,12.5,0.9,4.6,93.9,0.16,0.06,0.02,7.71,6.52,1.19,84.6,475.67,198.53,277.14,41.7,181.73,266,263,0,System Idle Process(1036.7%),python.exe(86.2%),afwServ.exe(27.5%),MemCompression(7.7%),chrome.exe(6.0%),chrome.exe(2.7%),False,0,0,0
